"filename", "language", "JSON", "HTML", "Markdown", "JavaScript", "MS SQL", "comment", "blank", "total"
"c:\xampp\htdocs\university\README.md", "Markdown", 0, 0, 1, 0, 0, 0, 1, 2
"c:\xampp\htdocs\university\package-lock.json", "JSON", 983, 0, 0, 0, 0, 0, 1, 984
"c:\xampp\htdocs\university\package.json", "JSON", 33, 0, 0, 0, 0, 0, 1, 34
"c:\xampp\htdocs\university\server.js", "JavaScript", 0, 0, 0, 9, 0, 0, 2, 11
"c:\xampp\htdocs\university\src\app.js", "JavaScript", 0, 0, 0, 60, 0, 4, 21, 85
"c:\xampp\htdocs\university\src\database\university.sql", "MS SQL", 0, 0, 0, 0, 41, 0, 5, 46
"c:\xampp\htdocs\university\src\random-data.js", "JavaScript", 0, 0, 0, 7, 0, 4, 2, 13
"c:\xampp\htdocs\university\src\reading.js", "JavaScript", 0, 0, 0, 13, 0, 0, 1, 14
"c:\xampp\htdocs\university\src\views\home.ejs", "HTML", 0, 31, 0, 0, 0, 1, 3, 35
"Total", "-", 1016, 31, 1, 89, 41, 9, 37, 1224
